County,ncomm,new,nrep,ndem,nother,nfemale,nwhite,nafam,namin,nother_race,Year
Buncombe,7,1,3,4,0,3,7,0,0,0,2014
Burke,5,0,5,0,0,0,5,0,0,0,2014
Cabarrus,5,3,5,0,0,3,5,0,0,0,2014
Caldwell,5,1,5,0,0,0,5,0,0,0,2014
Camden,5,1,4,1,0,1,5,0,0,0,2014
Carteret,7,1,7,0,0,1,7,0,0,0,2014
Caswell,7,1,0,7,0,0,4,3,0,0,2014
Catawba,5,1,5,0,0,3,5,0,0,0,2014
Chatham,5,3,1,4,0,2,4,1,0,0,2014
Cherokee,5,2,5,0,0,0,5,0,0,0,2014
Chowan,7,0,2,5,0,0,5,2,0,0,2014
Clay,5,5,5,0,0,0,5,0,0,0,2014
Cleveland,5,0,4,1,0,1,5,0,0,0,2014
Columbus,7,0,0,7,0,0,6,1,0,0,2014
Craven,7,2,4,3,0,0,5,2,0,0,2014
Cumberland,7,2,0,7,0,1,4,3,0,0,2014
Currituck,7,2,7,0,0,1,7,0,0,0,2014
Dare,7,2,5,2,0,2,7,0,0,0,2014
Davidson,7,1,7,0,0,0,7,0,0,0,2014
Davie,5,2,5,0,0,0,5,0,0,0,2014
Duplin,5,1,1,4,0,2,3,2,0,0,2014
Durham,5,0,0,5,0,3,2,3,0,0,2014
Edgecombe,7,0,0,7,0,2,3,4,0,0,2014
Forsyth,7,2,4,3,0,1,5,2,0,0,2014
Franklin,7,0,3,4,0,0,5,2,0,0,2014
Gaston,7,0,7,0,0,0,7,0,0,0,2014
Gates,5,1,0,5,0,1,4,1,0,0,2014
Graham,5,2,4,1,0,1,5,0,0,0,2014
Granville,7,0,1,6,0,0,4,3,0,0,2014
Greene,5,2,1,4,0,1,4,1,0,0,2014
Guilford,9,3,5,4,0,3,6,3,0,0,2014
Halifax,6,1,0,5,1,2,3,3,0,0,2014
Harnett,5,2,4,1,0,1,4,1,0,0,2014
Haywood,5,0,1,4,0,0,5,0,0,0,2014
Henderson,5,1,5,0,0,0,5,0,0,0,2014
Hertford,5,0,0,5,0,0,1,4,0,0,2014
Hoke,5,2,0,5,0,0,1,3,1,0,2014
Hyde,5,0,2,3,0,0,5,0,0,0,2014
Iredell,5,2,5,0,0,0,4,1,0,0,2014
Jackson,5,2,1,4,0,1,5,0,0,0,2014
Johnston,7,0,7,0,0,1,7,0,0,0,2014
Jones,5,0,1,4,0,1,5,0,0,0,2014
