"COUNTY","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
123,21095,10106,10990,8074,8418,1709,2256,80,84,145,144,1,3,97,85,8154,8491,1758,2306,130,120,160,158,6,7,8932,10005,7000,7526,1669,2225,47,51,141,140,0,2,76,61,7063,7580,1708,2259,83,77,154,150,4,5,1174,985,1075,892,40,31,33,33,4,4,1,1,21,24,1091,911,50,46,47,43,6,8,2,2
125,72313,34022,38290,29059,31961,3961,5077,280,322,308,493,48,45,366,393,29374,32289,4108,5250,469,515,395,585,63,68,32291,36739,27516,30599,3903,5015,238,295,300,473,13,12,322,344,27793,30885,4032,5163,400,464,379,557,26,35,1731,1552,1543,1362,58,62,42,27,9,20,35,32,44,48,1581,1404,76,87,69,51,17,28,37,33
127,72864,34389,38475,20818,22107,12563,15305,308,318,315,341,16,11,368,392,21106,22397,12772,15541,511,510,369,416,30,39,32414,36871,19258,20812,12402,15182,196,236,267,305,7,6,284,329,19469,21046,12561,15378,356,397,313,375,19,32,1974,1604,1560,1295,162,123,112,81,48,36,8,5,84,63,1637,1351,211,163,155,112,56,42,12,7
129,169960,80877,89083,67952,73374,10330,12688,425,462,1062,1334,89,88,1019,1137,68823,74336,10756,13205,925,989,1358,1678,139,149,77090,85754,64681,70669,10127,12407,315,343,1022,1295,71,45,873,996,65425,71507,10481,12849,732,799,1293,1617,112,96,3787,3329,3271,2705,203,281,109,119,39,39,18,44,146,141,3398,2829,275,356,193,190,66,62,27,53
131,16796,7924,8872,3437,3506,4365,5226,47,50,24,21,1,1,50,68,3478,3563,4391,5261,75,85,29,33,3,3,7782,8777,3347,3456,4329,5193,37,42,19,19,1,0,49,66,3387,3511,4354,5227,65,76,24,31,3,2,142,95,90,50,36,33,10,8,5,1,0,1,1,2,91,52,37,34,10,9,5,1,0,1
133,136284,75107,61176,59934,47246,11258,9783,695,511,1217,1861,223,189,1780,1586,61480,48604,12059,10571,1335,1090,1870,2431,359,302,66658,55510,52864,42578,10563,9274,474,379,1109,1774,181,159,1468,1346,54134,43731,11195,9918,959,845,1692,2294,296,259,8449,5666,7070,4669,695,509,221,131,108,87,43,30,312,240,7347,4873,864,653,376,246,178,138,62,43
135,107630,50390,57240,39855,44506,5893,7177,301,324,3519,4161,28,42,794,1031,40555,45429,6157,7546,672,775,3806,4557,57,80,46668,53870,36658,41576,5697,7034,144,195,3494,4140,16,29,658,895,37244,42380,5900,7341,427,567,3759,4513,37,62,3722,3370,3197,2930,196,142,156,130,25,21,12,12,136,136,3312,3049,257,205,245,208,48,44,20,19
137,10763,5539,5224,4213,4144,1229,972,43,30,12,33,10,7,31,37,4243,4178,1246,991,54,43,16,40,11,8,5388,5111,4087,4050,1212,962,39,27,11,32,8,7,31,32,4116,4079,1229,979,50,38,15,39,9,8,151,113,127,94,17,10,4,3,1,1,2,0,0,4,127,99,17,12,4,5,1,1,2,0
139,30794,14870,15924,9010,9414,5383,5951,97,64,171,275,9,10,199,210,9177,9583,5480,6068,188,152,218,325,19,23,14329,15375,8607,8984,5309,5888,67,44,163,263,4,7,180,189,8758,9135,5395,5992,145,121,207,312,14,19,540,549,403,430,74,63,30,19,9,12,5,3,20,21,419,447,85,76,43,31,10,12,5,4
141,42881,21291,21590,17187,17224,3549,3811,183,137,94,149,10,16,267,254,17422,17447,3644,3911,361,289,134,185,18,27,20112,20717,16206,16499,3488,3774,109,83,78,132,6,10,225,218,16406,16691,3562,3853,259,215,112,166,12,19,1179,874,981,725,60,37,74,54,17,17,4,5,42,37,1017,755,82,58,103,74,22,19,6,8
143,10856,5150,5707,3950,4213,1115,1391,18,21,22,32,0,3,44,46,3991,4254,1135,1413,41,35,30,43,0,7,5040,5616,3862,4147,1106,1381,17,19,15,28,0,3,39,37,3898,4180,1125,1398,36,32,23,36,0,7,110,91,88,66,9,10,1,2,7,4,0,0,5,9,93,74,10,15,6,3,7,6,0,0
145,30617,14615,16002,10548,11268,3781,4419,132,106,57,63,2,4,96,142,10634,11384,3832,4499,178,172,69,86,5,11,14026,15614,10036,10940,3748,4389,104,86,51,59,0,3,87,137,10114,11051,3794,4466,144,149,64,82,2,9,589,388,512,328,33,30,28,20,5,4,2,1,9,5,520,333,38,33,33,23,5,4,3,2
