GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,,,,,,,,,
0500000US37167,37167,"Stanly County, North Carolina",59110,*****,49494,424,7260,546,122,114,541,461,118,185,1068,421,507,230,38,52,469,221,,,,,,,,,,,,,,,,,,
0500000US37169,37169,"Stokes County, North Carolina",45936,*****,43026,200,2106,272,214,186,0,165,0,165,181,184,409,256,37,50,372,247,,,,,,,,,,,,,,,,,,
0500000US37171,37171,"Surry County, North Carolina",72206,*****,66761,614,2794,436,99,93,372,46,0,165,1380,617,800,335,0,165,800,335,,,,,,,,,,,,,,,,,,
0500000US37179,37179,"Union County, North Carolina",182966,*****,149440,1534,22258,601,669,160,2386,231,0,165,6113,1594,2100,523,428,255,1672,457,,,,,,,,,,,,,,,,,,
0500000US37181,37181,"Vance County, North Carolina",42921,*****,18831,185,21145,258,150,92,47,54,0,165,2464,211,284,261,0,165,284,261,,,,,,,,,,,,,,,,,,
0500000US37183,37183,"Wake County, North Carolina",829218,*****,566995,3094,167530,1062,2770,462,36975,657,219,168,42170,3267,12559,1290,1672,514,10887,1099,,,,,,,,,,,,,,,,,,
0500000US37189,37189,"Watauga County, North Carolina",44602,*****,42475,216,453,179,102,108,339,91,0,165,360,223,873,212,43,59,830,209,,,,,,,,,,,,,,,,,,
0500000US37191,37191,"Wayne County, North Carolina",113223,*****,68800,733,36324,353,282,134,934,123,17,29,4440,737,2426,546,653,388,1773,390,,,,,,,,,,,,,,,,,,
0500000US37193,37193,"Wilkes County, North Carolina",66607,*****,59907,346,2990,162,19,38,494,165,0,165,2626,435,571,339,104,108,467,334,,,,,,,,,,,,,,,,,,
0500000US37195,37195,"Wilson County, North Carolina",76573,*****,40257,541,29691,250,105,53,462,97,29,36,4900,550,1129,348,405,208,724,276,,,,,,,,,,,,,,,,,,
